Gene,Phecode,RareGPS,Indication,Max phase,Indicated mechanism,Indicated drugs,Druggable gene,DrugnomeAI,Predicted mechanism,Activators,Inhibitors,Other drugs
NDUFS6,CV_414.1 [Hypertrophic cardiomyopathy],0.335,0,0.0,,,1,0.999,Activation,,"me-344, metformin, nv-128",
TMEM67,GE_972.2 [Hereditary ataxia],0.33,0,0.0,,,0,0.003,,,,
CYP11B2,EM_211.1 [Adrenal hyperfunction],0.325,1,4.0,Inhibition,levoketoconazole (IV),1,0.968,Activation,,levoketoconazole,
FGFR3,GE_978.3 [Osteochondrodysplasias],0.323,1,2.0,Inhibition,infigratinib (II),1,0.996,Activation,,"azd-4547, brivanib, brivanib alaninate, cp-459632, derazantinib, dovitinib, e-7090, enmd-2076, enmd-981693, erdafitinib, fgfr inhibitor debio 1347, futibatinib, hmpl-453, infigratinib, ly-2874455, masitinib, nintedanib, nintedanib esylate, orantinib, pazopanib, pemigatinib, rg-7444, rogaratinib, xl-999",
TNFSF11,CM_770.5 [Congenital osteodystrophies],0.322,1,3.0,Inhibition,denosumab (III),1,0.998,Activation,,"denosumab, lenalidomide",
NR3C1,EM_211.1 [Adrenal hyperfunction],0.321,1,4.0,Inhibition,"betamethasone (IV), dexamethasone (IV), mifepristone (IV)
 prednisolone (II), prednisone (IV), relacorilant (III)",1,0.998,Activation,"alclometasone, amcinonide, beclomethasone, betamethasone, betamethasone phosphoric acid, budesonide, ciclesonide, clobetasol, clocortolone pivalate, cortisone, cortivazol, deflazacort, desonide, desoximetasone, dexamethasone, dexamethasone phosphoric acid, diflorasone, difluprednate, flumethasone pivalate, flunisolide, fluocinolone, fluocinonide, fluorometholone, fluprednisolone, flurandrenolide, fluticasone, fluticasone furoate, halcinonide, halobetasol, hydrocortamate, hydrocortisone, hydrocortisone anhydrous, hydrocortisone butyrate, hydrocortisone cypionate, hydrocortisone phosphoric acid, hydrocortisone probutate, loteprednol etabonate, mapracorat, medrysone, meprednisone, methylprednisolone, mometasone furoate, paramethasone, prednicarbate, prednisolone, prednisolone phosphoric acid, prednisolone tebutate, prednisone, rimexolone, triamcinolone, vamorolone","cort 108297, cyproterone, mifepristone, org-34517, relacorilant","abbv-3373, azd-5423, dagrocorat, fosdagrocorat, velsecorat"
PKHD1,GE_976.5 [Polycystic kidney disease],0.32,0,0.0,,,0,0.001,Activation,,,
LARGE1,GE_972.9 [Muscular dystrophy],0.32,0,0.0,,,0,0.0,Activation,,,
TNNI3,CV_414.1 [Hypertrophic cardiomyopathy],0.316,0,0.0,,,1,0.172,Activation,levosimendan,,
SCO2,NS_341.1 [Cerebral palsy],0.315,0,0.0,,,0,0.003,,,,
SMN1,NS_323.3 [Motor neuron disease],0.312,1,4.0,Other or unknown,onasemnogene abeparvovec (IV),1,,Activation,,,onasemnogene abeparvovec
CP,GE_972.2 [Hereditary ataxia],0.312,0,0.0,,,0,0.063,Activation,,,
SCN4A,NS_339.2 [Myotonic disorders],0.309,1,4.0,Inhibition,"mexiletine (IV), ranolazine (I)",1,0.998,Activation,,"articaine, benoxinate, bupivacaine, carbamazepine, cenobamate, chloroprocaine, cocaine, dichlorobenzyl, disopyramide, dronedarone, dyclonine, encainide, eslicarbazepine, ethotoin, etidocaine, evenamide, fosphenytoin, hexylcaine, indecainide, irampanel, lacosamide, lamotrigine, levobupivacaine, lidocaine, mephenytoin, mepivacaine, merethoxylline procaine, mexiletine, moricizine, nerispirdine, nktr-171, orphenadrine, oxcarbazepine, phenacemide, phenazopyridine, phenytoin, prilocaine, primidone, procainamide, procaine, propafenone, proparacaine, propoxycaine, quinidine, quinidine gluconate, quinidine polygalacturonate, ralfinamide, ranolazine, riluzole, ropivacaine, rufinamide, tetracaine, tocainide, topiramate, zonisamide",
ACE,GU_580.1 [Acute nephritic syndrome],0.308,1,4.0,Inhibition,"benazepril (III), captopril (IV), ramipril (II)",1,0.997,Activation,,"benazepril, captopril, cilazapril, delapril, enalapril, enalaprilat, enalaprilat anhydrous, fosinopril, ilepatril, imidapril, lisinopril, lisinopril anhydrous, moexipril, perindopril, perindopril arginine, perindopril erbumine, quinapril, ramipril, spirapril, trandolapril",
PRKAG2,CV_414.1 [Hypertrophic cardiomyopathy],0.307,0,0.0,,,1,0.002,Activation,acadesine,,
NDUFA10,GE_972.2 [Hereditary ataxia],0.298,1,4.0,Inhibition,metformin (IV),1,0.998,,,"me-344, metformin, nv-128",
PYGM,GE_964.3 [Glycogen storage disease],0.297,0,0.0,,,0,0.01,Activation,,,
FYCO1,CM_751.213 [Congenital cataract],0.296,0,0.0,,,0,0.001,Activation,,,
ENG,GE_975.2 [Hereditary hemorrhagic telangiectasia],0.294,0,0.0,,,1,0.666,Activation,,carotuximab,
AVP,EM_209.4 [Diabetes insipidus],0.293,1,0.5,Other or unknown,unknown,1,0.099,Activation,,,
FKRP,GE_972.9 [Muscular dystrophy],0.291,0,0.0,,,0,0.001,Activation,,,
COL1A1,CM_770.5 [Congenital osteodystrophies],0.289,0,0.0,,,1,0.084,Activation,,,"collagenase clostridium histolyticum, ocriplasmin"
AVPR2,EM_209.4 [Diabetes insipidus],0.287,1,4.0,Activation,"desmopressin (IV), vasopressin (IV)",1,0.914,Activation,"argipressin tannate, desmopressin, lypressin, vasopressin, vasopressin tannate","conivaptan, lixivaptan, mozavaptan, pecavaptan, satavaptan, tolvaptan",terlipressin
PDC,SO_386.6 [Night blindness],0.286,0,0.0,,,0,0.008,,,,
COL6A1,GE_972.9 [Muscular dystrophy],0.285,0,0.0,,,1,0.003,Activation,,,"collagenase clostridium histolyticum, ocriplasmin"
CYP11B1,EM_211.1 [Adrenal hyperfunction],0.283,1,4.0,Inhibition,"levoketoconazole (IV), osilodrostat (IV)",1,0.983,Activation,,"levoketoconazole, mitotane, osilodrostat",
ALPK3,CV_414.1 [Hypertrophic cardiomyopathy],0.281,0,0.0,,,0,0.001,Activation,,,
ANK1,GE_970.61 [Hereditary spherocytosis],0.281,0,0.0,,,0,0.012,Activation,,,
RAF1,CV_414.1 [Hypertrophic cardiomyopathy],0.278,0,0.0,,,1,0.997,Activation,,"arq-736, arq-736 free acid, belvarafenib, lgx-806, lxh254, ly-3009120, regorafenib, rg-7376, sorafenib, tovorafenib, xl-281",
NEB,GE_972.9 [Muscular dystrophy],0.278,0,0.0,,,0,0.004,Activation,,,
TTN,CV_414.1 [Hypertrophic cardiomyopathy],0.277,0,0.0,,,0,0.006,Activation,,,
CACNA1C,CV_414.1 [Hypertrophic cardiomyopathy],0.275,1,4.0,Inhibition,"amlodipine (II), dexverapamil (IV), diltiazem (II), verapamil (IV)",1,0.999,Activation,,"amlodipine, azd1305, azelnidipine, barnidipine, benidipine, bepridil, cilnidipine, cinnarizine, clevidipine, diltiazem, dronedarone, elpetrigine, enflurane, felodipine, isradipine, lacidipine, lercanidipine, levamlodipine, manidipine 6300, nicardipine, nifedipine, nilvadipine, nimodipine, nisoldipine, nitrendipine, phenytoin, phloroglucinol, suloctidil, terodiline, topiramate, verapamil","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
CACNA1H,NS_341.1 [Cerebral palsy],0.273,0,0.0,,,1,0.996,,,"abt-639, apinocaltamide, bepridil, enflurane, ethosuximide, isradipine, methsuximide, mibefradil, paramethadione, phensuximide, phloroglucinol, suloctidil, terodiline, trimethadione","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin, suvecaltamide"
NDUFS6,GE_972.2 [Hereditary ataxia],0.273,1,4.0,Inhibition,metformin (IV),1,0.999,,,"me-344, metformin, nv-128",
CRYBA1,CM_751.213 [Congenital cataract],0.271,0,0.0,,,0,0.001,Activation,,,
EXT1,CM_770.5 [Congenital osteodystrophies],0.271,0,0.0,,,0,0.002,Activation,,,
KIT,GE_977.6 [Congenital cutaneous mastocytosis*],0.27,1,4.0,Inhibition,"masitinib (II), midostaurin (IV)",1,0.999,Activation,,"amg-191, amuvatinib, avapritinib, catequentinib, cediranib, cm-082, dasatinib, dovitinib, enmd-2076, famitinib, foretinib, imatinib, masitinib, midostaurin, motesanib, osi-930, pazopanib, pexidartinib, quizartinib, regorafenib, ripretinib, semaxanib, seralutinib, sorafenib, su-014813, sunitinib, tandutinib, telatinib, tivozanib, vatalanib, xl-820, xl-999",
G6PC1,GE_964.3 [Glycogen storage disease],0.27,0,0.0,,,0,,Activation,,,
SCN5A,CV_414.1 [Hypertrophic cardiomyopathy],0.267,1,4.0,Inhibition,ranolazine (IV),1,0.999,Activation,,"articaine, azd1305, azd7009, benoxinate, carbamazepine, cenobamate, chloroprocaine, cocaine, dibucaine, dichlorobenzyl, disopyramide, dronedarone, dyclonine, encainide, eslicarbazepine, ethotoin, etidocaine, evenamide, flecainide, fosphenytoin, hexylcaine, indecainide, irampanel, lacosamide, lamotrigine, lidocaine, mephenytoin, mepivacaine, merethoxylline procaine, mexiletine, moricizine, nerispirdine, nktr-171, orphenadrine, oxcarbazepine, phenacemide, phenazopyridine, phenytoin, prenylamine, prilocaine, primidone, procainamide, procaine, propafenone, proparacaine, propoxycaine, quinidine, quinidine gluconate, quinidine polygalacturonate, ralfinamide, ranolazine, riluzole, ropivacaine, rufinamide, tetracaine, tocainide, topiramate, vernakalant, zonisamide",
REN,GU_580.1 [Acute nephritic syndrome],0.267,1,4.0,Inhibition,aliskiren (IV),1,0.998,Activation,,"aliskiren, imarikiren, sph-3127",
TNFRSF11A,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.267,0,0.0,,,1,0.676,Activation,,,
NDUFAF6,NS_341.1 [Cerebral palsy],0.267,0,0.0,,,0,0.83,,,,
PFKM,GE_964.3 [Glycogen storage disease],0.266,0,0.0,,,0,0.041,Activation,,,
NDUFA12,GE_972.2 [Hereditary ataxia],0.265,1,4.0,Inhibition,metformin (IV),1,0.999,,,"me-344, metformin, nv-128",
OR13C9,NS_341.1 [Cerebral palsy],0.264,0,0.0,,,0,0.0,,,,
TNF,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.263,1,4.0,Inhibition,"adalimumab (IV), certolizumab (III), etanercept (IV)
 golimumab (III), infliximab (III)",1,0.934,Activation,,"adalimumab, afelimomab, az9773, certolizumab, etanercept, golimumab, infliximab, lenercept, nerelimomab, onercept, ozoralizumab, pegsunercept, placulumab, remtolumab",abbv-3373
FUS,NS_323.3 [Motor neuron disease],0.262,1,3.0,Other or unknown,unknown,1,0.002,Activation,,,
LAMA2,GE_972.9 [Muscular dystrophy],0.262,0,0.0,,,1,0.009,Activation,,,ocriplasmin
SLC24A1,SO_386.6 [Night blindness],0.261,0,0.0,,,0,0.01,Activation,,,
NDUFA4,CV_414.1 [Hypertrophic cardiomyopathy],0.26,0,0.0,,,1,0.985,,,"me-344, metformin, nv-128",
CACNB4,GE_972.2 [Hereditary ataxia],0.259,1,4.0,Other or unknown,gabapentin (IV),1,0.994,Activation,,"bepridil, enflurane, nimodipine, phenytoin, phloroglucinol, suloctidil, terodiline, topiramate","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
NRL,SO_369.62 [Keratoconus],0.259,0,0.0,,,0,0.001,,,,
GLA,GE_963.1 [Lipid storage disorders],0.259,1,4.0,Other or unknown,migalastat (IV),1,0.98,Activation,,,migalastat
FSCN2,SO_386.5 [Color vision deficiencies],0.258,0,0.0,,,0,0.001,Activation,,,
GDF5,CM_770.5 [Congenital osteodystrophies],0.257,0,0.0,,,0,0.009,Activation,,,
RCVRN,SO_386.5 [Color vision deficiencies],0.257,0,0.0,,,0,0.006,,,,
ALS2,NS_323.3 [Motor neuron disease],0.257,0,0.0,,,0,0.006,Activation,,,
IGHMBP2,NS_323.3 [Motor neuron disease],0.256,0,0.0,,,0,0.0,Activation,,,
SQSTM1,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.254,0,0.0,,,1,0.087,Activation,,,
CEP290,GE_972.2 [Hereditary ataxia],0.254,0,0.0,,,1,0.002,Activation,sepofarsen,,
NPC1,GE_972.2 [Hereditary ataxia],0.253,0,0.0,,,1,0.007,Activation,,,
MYL3,CV_414.1 [Hypertrophic cardiomyopathy],0.252,1,4.0,Inhibition,mavacamten (IV),1,0.447,Activation,"danicamtiv, omecamtiv mecarbil",mavacamten,
SLC4A1,GE_970.61 [Hereditary spherocytosis],0.252,0,0.0,,,0,0.188,Activation,,,
NDUFS4,NS_341.1 [Cerebral palsy],0.25,1,2.0,Inhibition,metformin (II),1,0.999,,,"me-344, metformin, nv-128",
FGFR3,CM_770.5 [Congenital osteodystrophies],0.246,1,2.0,Inhibition,infigratinib (II),1,0.996,Activation,,"azd-4547, brivanib, brivanib alaninate, cp-459632, derazantinib, dovitinib, e-7090, enmd-2076, enmd-981693, erdafitinib, fgfr inhibitor debio 1347, futibatinib, hmpl-453, infigratinib, ly-2874455, masitinib, nintedanib, nintedanib esylate, orantinib, pazopanib, pemigatinib, rg-7444, rogaratinib, xl-999",
TMEM126B,CV_414.1 [Hypertrophic cardiomyopathy],0.245,0,0.0,,,0,0.535,,,,
C20orf144,SO_369.62 [Keratoconus],0.245,0,0.0,,,0,0.001,,,,
UMOD,GU_580.1 [Acute nephritic syndrome],0.244,0,0.0,,,0,0.002,Activation,,,
TNFSF11,GE_978.3 [Osteochondrodysplasias],0.243,1,3.0,Inhibition,denosumab (III),1,0.998,Activation,,"denosumab, lenalidomide",
VAPB,NS_323.3 [Motor neuron disease],0.242,0,0.0,,,0,0.003,Activation,,,
TTN,GE_972.9 [Muscular dystrophy],0.242,0,0.0,,,0,0.006,Activation,,,
OR13F1,GE_972.2 [Hereditary ataxia],0.241,0,0.0,,,0,0.001,,,,
SMN2,NS_323.3 [Motor neuron disease],0.24,1,4.0,Activation,"nusinersen (IV), onasemnogene abeparvovec (IV), risdiplam (IV)",1,0.001,Activation,"nusinersen, risdiplam",,onasemnogene abeparvovec
NDUFV2,GE_972.2 [Hereditary ataxia],0.24,1,4.0,Inhibition,metformin (IV),1,0.997,,,"me-344, metformin, nv-128",
AQP2,EM_209.4 [Diabetes insipidus],0.24,1,0.5,Other or unknown,unknown,1,0.267,Activation,,,
PANK2,NS_341.1 [Cerebral palsy],0.24,0,0.0,,,0,0.001,,,,
APP,NS_323.3 [Motor neuron disease],0.239,1,2.0,Other or unknown,unknown,1,0.902,Activation,,"crenezumab, lecanemab","aducanumab, amilomotide, bapineuzumab, donanemab, florbetaben f-18, gantenerumab, gsk933776, ponezumab, solanezumab, tramiprosate, valiltramiprosate, vanutide cridificar"
EXT1,GE_978.3 [Osteochondrodysplasias],0.238,0,0.0,,,0,0.002,Activation,,,
NEXN,CV_414.1 [Hypertrophic cardiomyopathy],0.237,0,0.0,,,0,0.001,Activation,,,
CLCN7,CM_770.5 [Congenital osteodystrophies],0.237,1,0.5,Other or unknown,unknown,1,0.48,Activation,,,
RP1L1,SO_369.62 [Keratoconus],0.237,0,0.0,,,0,0.003,,,,
RCVRN,SO_386.6 [Night blindness],0.235,0,0.0,,,0,0.006,,,,
ATCAY,GE_972.2 [Hereditary ataxia],0.235,0,0.0,,,0,0.002,Activation,,,
DNAJC19,CV_414.1 [Hypertrophic cardiomyopathy],0.235,0,0.0,,,0,0.001,,,,
F8,GE_971.11 [Hereditary factor VIII deficiency [Hemophilia A]],0.234,1,4.0,Other or unknown,"antihemophilic factor, (IV)
 antihemophilic factor, pegylated (mw 20000) sequence (IV)
 coagulation factor viii/von willebrand factor complex (IV)
 damoctocog (IV), efmoroctocog (IV), giroctocogene fitelparvovec (III)
 lonoctocog (IV), moroctocog (IV), omfiloctocog (IV), simoctocog (IV)
 susoctocog (IV), turoctocog (IV)",1,0.9,Activation,,"drotrecogin  (activated), tb-402","antihemophilic factor,, antihemophilic factor, pegylated (mw 20000) sequence, coagulation factor viii/von willebrand factor complex, damoctocog, efmoroctocog, giroctocogene fitelparvovec, lonoctocog, moroctocog, omfiloctocog, simoctocog, susoctocog, turoctocog"
NDUFB10,GE_963.1 [Lipid storage disorders],0.233,0,0.0,,,1,0.999,,,"me-344, metformin, nv-128",
GARS1,GE_972.1 [Hereditary neuropathy],0.232,0,0.0,,,0,,Activation,,,
SGCD,GE_972.9 [Muscular dystrophy],0.231,0,0.0,,,0,0.022,Activation,,,
C8orf76,CM_770.5 [Congenital osteodystrophies],0.231,0,0.0,,,0,0.0,,,,
HSF4,CM_751.213 [Congenital cataract],0.23,0,0.0,,,0,0.0,Activation,,,
NDUFAF6,GE_963.1 [Lipid storage disorders],0.23,0,0.0,,,0,0.83,,,,
EMX2,NS_347.1 [Cerebral cysts],0.23,0,0.0,,,0,0.0,Activation,,,
APP,EM_249.1 [Cerebral amyloid angiopathy*],0.229,1,2.0,Other or unknown,ponezumab (II),1,0.902,Activation,,"crenezumab, lecanemab","aducanumab, amilomotide, bapineuzumab, donanemab, florbetaben f-18, gantenerumab, gsk933776, ponezumab, solanezumab, tramiprosate, valiltramiprosate, vanutide cridificar"
TTC7A,BI_179.1 [Hypogammaglobulinemia NOS],0.228,0,0.0,,,0,0.0,,,,
PKD1,GE_976.5 [Polycystic kidney disease],0.228,0,0.0,,,0,0.017,Activation,,,
AHI1,SO_386.6 [Night blindness],0.228,0,0.0,,,0,0.002,,,,
CNR1,MB_305.1 [Tics and tic disorders],0.227,1,2.0,Conflicting,"cannabidiol (II), dronabinol (II)",1,0.996,Activation,"dronabinol, nabilone, nonabine, sad448","azd2207, cannabidiol, drinabant, ibipinabant, nimacimab, otenabant, rimonabant, surinabant, taranabant",
NDUFS6,NS_341.1 [Cerebral palsy],0.227,1,2.0,Inhibition,metformin (II),1,0.999,,,"me-344, metformin, nv-128",
CACNA1G,GE_972.2 [Hereditary ataxia],0.227,1,4.0,Other or unknown,gabapentin (IV),1,0.991,Activation,,"apinocaltamide, bepridil, enflurane, ethosuximide, methsuximide, mibefradil, paramethadione, phensuximide, phloroglucinol, suloctidil, terodiline, trimethadione","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin, suvecaltamide"
LMNA,GE_972.9 [Muscular dystrophy],0.227,0,0.0,,,1,0.018,Activation,,,
PRLR,EM_209.13 [Hyperprolactinemia*],0.226,1,2.0,Other or unknown,unknown,1,0.998,Activation,,,
NRL,SO_380.3 [Optic atrophy],0.225,0,0.0,,,0,0.001,,,,
CRYGB,CM_751.213 [Congenital cataract],0.225,0,0.0,,,0,0.001,Activation,,,
NDUFB4,NS_341.1 [Cerebral palsy],0.224,1,2.0,Inhibition,metformin (II),1,0.999,,,"me-344, metformin, nv-128",
IMPG1,SO_386.5 [Color vision deficiencies],0.223,0,0.0,,,0,0.0,,,,
LDB3,CV_414.1 [Hypertrophic cardiomyopathy],0.223,0,0.0,,,0,0.006,Activation,,,
SCN8A,GE_972.2 [Hereditary ataxia],0.223,1,2.0,Inhibition,riluzole (II),1,0.995,Activation,,"articaine, benoxinate, carbamazepine, cenobamate, chloroprocaine, cocaine, dichlorobenzyl, disopyramide, dronedarone, dyclonine, encainide, eslicarbazepine, ethotoin, etidocaine, evenamide, fosphenytoin, hexylcaine, indecainide, irampanel, lacosamide, lamotrigine, lidocaine, mephenytoin, mepivacaine, merethoxylline procaine, mexiletine, moricizine, nerispirdine, nktr-171, orphenadrine, oxcarbazepine, phenacemide, phenazopyridine, phenytoin, prilocaine, primidone, procainamide, procaine, propafenone, proparacaine, propoxycaine, quinidine, quinidine gluconate, quinidine polygalacturonate, ralfinamide, riluzole, ropivacaine, rufinamide, tetracaine, tocainide, topiramate, zandatrigine, zonisamide",
RP1L1,SO_386.6 [Night blindness],0.223,0,0.0,,,0,0.003,,,,
MSTN,NS_323.3 [Motor neuron disease],0.222,1,3.0,Other or unknown,apitegromab (I),1,0.154,Activation,,"apitegromab, domagrozumab, landogrozumab, pf-03446879, ramatercept, stamulumab, trevogrumab",
NDUFV3,GE_972.2 [Hereditary ataxia],0.222,1,4.0,Inhibition,metformin (IV),1,0.999,,,"me-344, metformin, nv-128",
NDUFAF1,GE_972.2 [Hereditary ataxia],0.222,1,4.0,Inhibition,metformin (IV),1,0.997,,,"me-344, metformin, nv-128",
PLP1,GE_963.1 [Lipid storage disorders],0.221,0,0.0,,,0,0.009,Activation,,,
PROM1,SO_386.5 [Color vision deficiencies],0.22,0,0.0,,,1,0.023,Activation,,,
JPH2,CV_414.1 [Hypertrophic cardiomyopathy],0.22,0,0.0,,,0,0.004,Activation,,,
CLCN7,GE_978.3 [Osteochondrodysplasias],0.22,1,0.5,Other or unknown,unknown,1,0.48,Activation,,,
PAX2,GU_580.52 [Diffuse membranous glomerulonephritis],0.219,0,0.0,,,1,0.001,Activation,,,
TPP1,GE_972.2 [Hereditary ataxia],0.218,0,0.0,,,1,0.003,Activation,,,
PMP22,GE_972.1 [Hereditary neuropathy],0.218,1,0.5,Other or unknown,unknown,1,0.002,Activation,,,
PEX2,NS_341.1 [Cerebral palsy],0.218,0,0.0,,,0,0.0,,,,
NDUFB3,GE_972.2 [Hereditary ataxia],0.217,1,4.0,Inhibition,metformin (IV),1,0.999,,,"me-344, metformin, nv-128",
ANO5,GE_972.9 [Muscular dystrophy],0.217,0,0.0,,,0,0.001,Activation,,,
GJA3,CM_751.213 [Congenital cataract],0.217,0,0.0,,,0,0.003,Activation,,,
CSRP3,CV_414.1 [Hypertrophic cardiomyopathy],0.217,0,0.0,,,0,0.003,Activation,,,
DMD,CV_414.1 [Hypertrophic cardiomyopathy],0.215,0,0.0,,,1,0.006,Activation,"casimersen, drisapersen, eteplirsen, golodirsen, suvodirsen, viltolarsen",,
MUSK,NS_338.1 [Myasthenia gravis],0.215,1,0.5,Other or unknown,unknown,1,0.364,Activation,,,
PTH1R,CM_770.5 [Congenital osteodystrophies],0.215,1,4.0,Activation,teriparatide (IV),1,0.994,Activation,"abaloparatide, ostabolin-c, parathyroid hormone, teriparatide",,
COX19,CV_414.1 [Hypertrophic cardiomyopathy],0.214,0,0.0,,,0,0.002,,,,
CACNA2D2,GE_972.2 [Hereditary ataxia],0.214,1,4.0,Other or unknown,gabapentin (IV),1,0.997,Activation,,"bepridil, enflurane, isradipine, phloroglucinol, suloctidil, terodiline","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, mirogabalin, pregabalin"
NDUFB4,CV_414.1 [Hypertrophic cardiomyopathy],0.214,0,0.0,,,1,0.999,,,"me-344, metformin, nv-128",
GJB1,GE_972.1 [Hereditary neuropathy],0.213,0,0.0,,,0,0.003,Activation,,,
GUCA1B,SO_386.6 [Night blindness],0.213,0,0.0,,,0,0.002,,,,
NPR2,GE_978.3 [Osteochondrodysplasias],0.212,1,4.0,Other or unknown,vosoritide (IV),1,0.965,Activation,carperitide,,vosoritide
ACVRL1,GE_975.2 [Hereditary hemorrhagic telangiectasia],0.212,0,0.0,,,1,0.186,Activation,,"ascrinvacumab, panulisib",
SOD1,NS_323.3 [Motor neuron disease],0.212,1,4.0,Inhibition,tofersen (IV),1,0.784,Activation,,tofersen,
DNM2,GE_972.9 [Muscular dystrophy],0.212,1,0.5,Other or unknown,unknown,1,0.003,Activation,,,
FKRP,SO_380.3 [Optic atrophy],0.212,0,0.0,,,0,0.001,,,,
OR1M1,BI_179.1 [Hypogammaglobulinemia NOS],0.211,0,0.0,,,0,0.0,,,,
NR3C1,DE_663.1 [Pemphigus],0.211,1,4.0,Activation,"betamethasone (IV), betamethasone phosphoric acid (IV)
 dexamethasone (IV), dexamethasone phosphoric acid (IV)
 hydrocortisone (IV), methylprednisolone (IV), prednisolone (IV)
 prednisolone phosphoric acid (IV), prednisone (IV)
 triamcinolone (IV)",1,0.998,Activation,"alclometasone, amcinonide, beclomethasone, betamethasone, betamethasone phosphoric acid, budesonide, ciclesonide, clobetasol, clocortolone pivalate, cortisone, cortivazol, deflazacort, desonide, desoximetasone, dexamethasone, dexamethasone phosphoric acid, diflorasone, difluprednate, flumethasone pivalate, flunisolide, fluocinolone, fluocinonide, fluorometholone, fluprednisolone, flurandrenolide, fluticasone, fluticasone furoate, halcinonide, halobetasol, hydrocortamate, hydrocortisone, hydrocortisone anhydrous, hydrocortisone butyrate, hydrocortisone cypionate, hydrocortisone phosphoric acid, hydrocortisone probutate, loteprednol etabonate, mapracorat, medrysone, meprednisone, methylprednisolone, mometasone furoate, paramethasone, prednicarbate, prednisolone, prednisolone phosphoric acid, prednisolone tebutate, prednisone, rimexolone, triamcinolone, vamorolone","cort 108297, cyproterone, mifepristone, org-34517, relacorilant","abbv-3373, azd-5423, dagrocorat, fosdagrocorat, velsecorat"
CRYGA,CM_751.213 [Congenital cataract],0.211,0,0.0,,,0,0.0,Activation,,,
