Gene,Phecode,RareGPS,Indication,Max phase,Gene expression,HGMD,Locus2gene,Mouse models,OTP clinical genetics,Text mining,Common variants,Rare variants,Rare variants (gene-level),Ultrarare variants (gene-level),Mantis-ML,Sources
PRKAG2,CV_414.1 [Hypertrophic cardiomyopathy],0.307,0,0.0,0.0,0.89,0.0,0.345,0.795,0.346,2.41,2.745,0.162,0.166,0.994,5
NDUFA10,GE_972.2 [Hereditary ataxia],0.298,1,4.0,0.0,0.426,0.0,0.0,0.0,0.0,3.467,3.121,3.083,1.583,0.99,3
PYGM,GE_964.3 [Glycogen storage disease],0.297,0,0.0,0.0,0.0,0.0,0.418,0.9,0.108,,9.69,9.319,0.639,,4
FYCO1,CM_751.213 [Congenital cataract],0.296,0,0.0,0.0,0.872,0.0,0.381,0.635,0.143,3.417,2.711,0.622,0.411,0.992,5
ENG,GE_975.2 [Hereditary hemorrhagic telangiectasia],0.294,0,0.0,0.0,0.0,0.0,0.363,0.906,0.436,,2.788,0.16,23.274,,4
AVP,EM_209.4 [Diabetes insipidus],0.293,1,0.5,0.0,0.895,0.0,0.388,0.811,0.429,,0.237,0.193,4.213,0.935,5
FKRP,GE_972.9 [Muscular dystrophy],0.291,0,0.0,0.0,0.898,0.0,0.411,0.872,0.083,,2.234,0.173,0.121,1.0,5
COL1A1,CM_770.5 [Congenital osteodystrophies],0.289,0,0.0,0.0,0.304,0.0,0.38,0.788,0.148,2.92,3.313,3.059,33.848,0.958,5
AVPR2,EM_209.4 [Diabetes insipidus],0.287,1,4.0,0.0,0.899,0.0,0.359,0.783,0.128,,2.248,0.055,0.059,0.829,5
PDC,SO_386.6 [Night blindness],0.286,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.189,0.231,0.108,0.991,1
COL6A1,GE_972.9 [Muscular dystrophy],0.285,0,0.0,0.043,0.898,0.0,0.423,0.82,0.099,2.819,2.787,0.313,1.474,0.989,6
CYP11B1,EM_211.1 [Adrenal hyperfunction],0.283,1,4.0,0.0,0.0,0.0,0.404,0.716,0.087,,2.271,0.943,0.176,,4
ALPK3,CV_414.1 [Hypertrophic cardiomyopathy],0.281,0,0.0,0.0,0.89,0.324,0.648,0.834,0.705,2.714,4.129,5.401,5.76,0.85,5
ANK1,GE_970.61 [Hereditary spherocytosis],0.281,0,0.0,0.0,0.0,0.0,0.449,0.771,0.191,2.135,0.869,0.187,20.705,,4
RAF1,CV_414.1 [Hypertrophic cardiomyopathy],0.278,0,0.0,0.0,0.869,0.0,0.431,0.453,0.119,,1.76,0.362,0.168,0.971,5
NEB,GE_972.9 [Muscular dystrophy],0.278,0,0.0,0.0,0.871,0.0,0.396,0.644,0.142,2.106,3.451,0.195,0.921,0.976,5
TTN,CV_414.1 [Hypertrophic cardiomyopathy],0.277,0,0.0,0.0,0.892,0.0,0.619,0.624,0.425,3.086,3.819,0.195,1.06,0.993,5
CACNA1C,CV_414.1 [Hypertrophic cardiomyopathy],0.275,1,4.0,0.0,0.796,0.0,0.604,0.479,0.179,3.553,2.326,0.534,0.404,0.867,5
CACNA1H,NS_341.1 [Cerebral palsy],0.273,0,0.0,0.0,0.426,0.0,0.0,0.0,0.0,2.759,3.63,0.349,1.774,0.968,3
NDUFS6,GE_972.2 [Hereditary ataxia],0.273,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974,0.116,0.138,0.078,0.986,2
CRYBA1,CM_751.213 [Congenital cataract],0.271,0,0.0,0.0,0.822,0.0,0.603,0.803,0.099,,2.504,0.158,0.121,0.992,5
EXT1,CM_770.5 [Congenital osteodystrophies],0.271,0,0.0,0.0,0.0,0.0,0.424,0.904,0.122,3.103,1.819,0.153,11.369,0.737,5
KIT,GE_977.6 [Congenital cutaneous mastocytosis*],0.27,1,4.0,0.0,0.0,0.0,0.373,0.83,0.253,2.727,0.257,0.08,0.071,,4
G6PC1,GE_964.3 [Glycogen storage disease],0.27,0,0.0,0.0,0.0,0.0,0.473,0.852,0.106,,0.178,0.411,0.125,,3
SCN5A,CV_414.1 [Hypertrophic cardiomyopathy],0.267,1,4.0,0.0,0.877,0.0,0.842,0.189,0.244,2.064,2.861,0.126,0.686,0.967,5
REN,GU_580.1 [Acute nephritic syndrome],0.267,1,4.0,0.0,0.0,0.0,0.393,0.176,0.14,,1.37,0.219,0.121,0.745,5
TNFRSF11A,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.267,0,0.0,0.0,0.0,0.69,0.392,0.731,0.151,1.877,2.831,0.06,0.094,,4
NDUFAF6,NS_341.1 [Cerebral palsy],0.267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.365,0.298,0.102,0.984,1
PFKM,GE_964.3 [Glycogen storage disease],0.266,0,0.0,0.0,0.0,0.0,0.362,0.87,0.129,,4.253,2.255,0.194,,4
NDUFA12,GE_972.2 [Hereditary ataxia],0.265,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.704,2.206,0.191,0.106,0.982,2
OR13C9,NS_341.1 [Cerebral palsy],0.264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.74,0.228,0.075,1.0,2
TNF,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.263,1,4.0,0.0,0.35,0.0,0.4,0.0,0.313,,0.256,0.148,0.032,,3
FUS,NS_323.3 [Motor neuron disease],0.262,1,3.0,0.0,0.896,0.0,0.366,0.759,0.109,,3.062,0.236,1.797,0.999,5
LAMA2,GE_972.9 [Muscular dystrophy],0.262,0,0.0,0.0,0.899,0.0,0.507,0.824,0.114,2.523,3.41,0.35,0.158,0.998,5
SLC24A1,SO_386.6 [Night blindness],0.261,0,0.0,0.0,0.881,0.0,0.373,0.733,0.067,,3.352,0.349,0.168,0.993,5
NDUFA4,CV_414.1 [Hypertrophic cardiomyopathy],0.26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.446,0.267,0.172,0.133,0.997,2
CACNB4,GE_972.2 [Hereditary ataxia],0.259,1,4.0,0.0,0.654,0.0,0.306,0.246,0.018,1.408,1.912,0.224,0.207,0.961,5
NRL,SO_369.62 [Keratoconus],0.259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.344,0.161,0.154,0.999,2
GLA,GE_963.1 [Lipid storage disorders],0.259,1,4.0,0.0,0.9,0.0,0.0,0.96,0.119,1.555,8.145,0.012,6.471,0.57,4
FSCN2,SO_386.5 [Color vision deficiencies],0.258,0,0.0,0.0,0.0,0.0,0.413,0.0,0.0,,2.895,0.189,0.108,0.997,3
GDF5,CM_770.5 [Congenital osteodystrophies],0.257,0,0.0,0.0,0.0,0.0,0.478,0.721,0.107,,3.078,0.153,0.118,0.909,5
RCVRN,SO_386.5 [Color vision deficiencies],0.257,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.466,0.209,0.147,0.079,0.996,2
ALS2,NS_323.3 [Motor neuron disease],0.257,0,0.0,0.0,0.894,0.0,0.419,0.609,0.142,,2.669,0.387,0.034,0.998,5
IGHMBP2,NS_323.3 [Motor neuron disease],0.256,0,0.0,0.0,0.532,0.0,0.402,0.893,0.13,,2.703,0.484,2.096,0.257,5
SQSTM1,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.254,0,0.0,0.0,0.0,0.0,0.356,0.869,0.15,,17.709,2.625,1.939,,4
CEP290,GE_972.2 [Hereditary ataxia],0.254,0,0.0,0.0,0.808,0.0,0.0,0.37,0.0,2.314,3.396,0.583,0.402,0.998,3
NPC1,GE_972.2 [Hereditary ataxia],0.253,0,0.0,0.0,0.864,0.0,0.361,0.462,0.157,1.659,2.725,0.196,0.319,0.91,5
MYL3,CV_414.1 [Hypertrophic cardiomyopathy],0.252,1,4.0,0.0,0.889,0.0,0.0,0.834,0.075,,2.29,0.227,0.159,0.941,4
SLC4A1,GE_970.61 [Hereditary spherocytosis],0.252,0,0.0,0.0,0.0,0.0,0.376,0.717,0.139,,2.887,0.352,46.479,,4
NDUFS4,NS_341.1 [Cerebral palsy],0.25,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.228,0.182,0.079,0.989,2
FGFR3,CM_770.5 [Congenital osteodystrophies],0.246,1,2.0,0.0,0.0,0.0,0.461,0.822,0.166,2.239,3.726,4.414,3.373,0.946,5
TMEM126B,CV_414.1 [Hypertrophic cardiomyopathy],0.245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.529,0.839,0.125,0.979,2
C20orf144,SO_369.62 [Keratoconus],0.245,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.825,0.431,0.095,0.996,2
UMOD,GU_580.1 [Acute nephritic syndrome],0.244,0,0.0,0.0,0.837,0.0,0.479,0.618,0.333,,1.802,0.29,0.169,0.629,5
TNFSF11,GE_978.3 [Osteochondrodysplasias],0.243,1,3.0,0.0,0.0,0.0,0.367,0.701,0.141,3.94,2.738,0.145,0.047,,4
VAPB,NS_323.3 [Motor neuron disease],0.242,0,0.0,0.0,0.857,0.0,0.408,0.639,0.095,2.96,2.502,2.34,0.141,0.996,5
TTN,GE_972.9 [Muscular dystrophy],0.242,0,0.0,0.018,0.897,0.102,0.35,0.626,0.129,1.957,5.23,1.973,0.506,0.997,6
OR13F1,GE_972.2 [Hereditary ataxia],0.241,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.953,2.642,0.088,1.0,2
SMN2,NS_323.3 [Motor neuron disease],0.24,1,4.0,0.0,0.0,0.0,0.435,0.29,0.131,,0.049,,0.09,0.977,4
NDUFV2,GE_972.2 [Hereditary ataxia],0.24,1,4.0,0.0,0.654,0.0,0.0,0.0,0.0,1.99,0.171,0.36,0.166,0.994,3
AQP2,EM_209.4 [Diabetes insipidus],0.24,1,0.5,0.0,0.894,0.0,0.353,0.736,0.149,,2.746,0.146,1.982,0.817,5
PANK2,NS_341.1 [Cerebral palsy],0.24,0,0.0,0.0,0.547,0.0,0.0,0.0,0.0,,3.155,0.216,0.153,0.989,3
APP,NS_323.3 [Motor neuron disease],0.239,1,2.0,0.029,0.426,0.0,0.403,0.0,0.132,2.684,2.17,0.165,1.065,0.995,6
EXT1,GE_978.3 [Osteochondrodysplasias],0.238,0,0.0,0.0,0.0,0.0,0.43,0.904,0.113,1.792,1.623,0.144,10.322,,4
NEXN,CV_414.1 [Hypertrophic cardiomyopathy],0.237,0,0.0,0.0,0.844,0.0,0.749,0.64,0.136,,2.84,0.241,0.195,0.848,5
CLCN7,CM_770.5 [Congenital osteodystrophies],0.237,1,0.5,0.0,0.897,0.0,0.404,0.847,0.127,2.344,1.342,0.383,1.189,0.98,5
RP1L1,SO_369.62 [Keratoconus],0.237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.386,3.642,1.221,0.268,0.992,2
RCVRN,SO_386.6 [Night blindness],0.235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.888,1.658,0.184,0.113,0.994,2
ATCAY,GE_972.2 [Hereditary ataxia],0.235,0,0.0,0.151,0.801,0.0,0.414,0.547,0.084,2.25,2.696,0.19,0.165,0.808,6
DNAJC19,CV_414.1 [Hypertrophic cardiomyopathy],0.235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.934,0.166,0.082,0.108,0.988,2
F8,GE_971.11 [Hereditary factor VIII deficiency [Hemophilia A]],0.234,1,4.0,0.0,0.0,0.0,0.0,0.917,0.597,,10.144,0.092,43.243,,3
NDUFB10,GE_963.1 [Lipid storage disorders],0.233,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13,0.135,0.069,0.977,1
GARS1,GE_972.1 [Hereditary neuropathy],0.232,0,0.0,0.0,0.0,0.0,0.35,0.831,0.231,,0.305,0.455,0.269,,3
SGCD,GE_972.9 [Muscular dystrophy],0.231,0,0.0,0.0,0.876,0.0,0.403,0.67,0.087,2.112,2.467,0.186,0.13,0.994,5
C8orf76,CM_770.5 [Congenital osteodystrophies],0.231,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.547,1.88,0.107,0.998,2
HSF4,CM_751.213 [Congenital cataract],0.23,0,0.0,0.0,0.852,0.0,0.724,0.281,0.281,,0.426,0.227,0.138,0.999,4
NDUFAF6,GE_963.1 [Lipid storage disorders],0.23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984,1.933,1.745,0.06,0.998,2
EMX2,NS_347.1 [Cerebral cysts],0.23,0,0.0,0.0,0.0,0.0,0.39,0.744,0.1,2.952,1.074,,0.081,,4
APP,EM_249.1 [Cerebral amyloid angiopathy*],0.229,1,2.0,0.0,0.817,0.0,0.339,0.713,0.181,3.721,0.18,0.34,0.169,,4
TTC7A,BI_179.1 [Hypogammaglobulinemia NOS],0.228,0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,1.358,3.291,0.268,0.234,0.98,3
PKD1,GE_976.5 [Polycystic kidney disease],0.228,0,0.0,0.0,0.0,0.0,0.459,0.739,0.28,1.449,5.034,1.444,118.64,,4
AHI1,SO_386.6 [Night blindness],0.228,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273,3.565,0.386,0.74,0.979,2
CNR1,MB_305.1 [Tics and tic disorders],0.227,1,2.0,0.0,0.0,0.0,0.378,0.0,0.167,3.047,0.123,0.092,0.105,,3
NDUFS6,NS_341.1 [Cerebral palsy],0.227,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.083,0.1,0.087,0.996,1
CACNA1G,GE_972.2 [Hereditary ataxia],0.227,1,4.0,0.038,0.856,0.0,0.431,0.261,0.059,,3.214,0.996,0.323,0.953,6
LMNA,GE_972.9 [Muscular dystrophy],0.227,0,0.0,0.0,0.898,0.0,0.387,0.591,0.09,,1.23,0.134,0.107,0.998,4
PRLR,EM_209.13 [Hyperprolactinemia*],0.226,1,2.0,0.0,0.745,0.0,0.392,0.646,0.106,1.9,0.298,0.166,0.129,,4
NRL,SO_380.3 [Optic atrophy],0.225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.406,0.189,0.123,0.988,1
CRYGB,CM_751.213 [Congenital cataract],0.225,0,0.0,0.0,0.654,0.0,0.878,0.533,0.0,,0.25,0.318,0.104,0.988,3
NDUFB4,NS_341.1 [Cerebral palsy],0.224,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.198,0.123,0.189,0.08,0.983,2
IMPG1,SO_386.5 [Color vision deficiencies],0.223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.459,1.236,0.24,0.128,0.991,2
LDB3,CV_414.1 [Hypertrophic cardiomyopathy],0.223,0,0.0,0.0,0.844,0.0,0.516,0.797,0.24,1.795,3.408,0.183,0.14,0.99,5
SCN8A,GE_972.2 [Hereditary ataxia],0.223,1,2.0,0.0,0.808,0.0,0.447,0.209,0.169,1.673,2.926,2.01,0.194,0.988,5
RP1L1,SO_386.6 [Night blindness],0.223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.119,2.968,0.216,0.864,0.997,2
MSTN,NS_323.3 [Motor neuron disease],0.222,1,3.0,0.0,0.0,0.0,0.503,0.0,0.149,,2.875,1.201,0.171,0.087,4
NDUFV3,GE_972.2 [Hereditary ataxia],0.222,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.388,0.823,0.157,0.991,2
NDUFAF1,GE_972.2 [Hereditary ataxia],0.222,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.414,2.483,0.263,0.168,0.979,2
PLP1,GE_963.1 [Lipid storage disorders],0.221,0,0.0,0.0,0.898,0.0,0.352,0.906,0.225,,0.035,0.02,2.588,0.98,5
PROM1,SO_386.5 [Color vision deficiencies],0.22,0,0.0,0.0,0.547,0.0,0.35,0.0,0.0,2.074,3.239,0.333,0.146,0.996,4
JPH2,CV_414.1 [Hypertrophic cardiomyopathy],0.22,0,0.0,0.0,0.861,0.0,0.629,0.779,0.504,,5.084,2.518,0.261,0.952,5
CLCN7,GE_978.3 [Osteochondrodysplasias],0.22,1,0.5,0.0,0.0,0.0,0.409,0.847,0.127,1.331,1.849,0.329,1.352,,4
PAX2,GU_580.52 [Diffuse membranous glomerulonephritis],0.219,0,0.0,0.0,0.0,0.0,0.506,0.835,0.153,,0.223,0.105,0.1,,3
TPP1,GE_972.2 [Hereditary ataxia],0.218,0,0.0,0.0,0.854,0.0,0.417,0.792,0.149,2.542,2.892,0.571,0.2,0.986,5
PMP22,GE_972.1 [Hereditary neuropathy],0.218,1,0.5,0.0,0.0,0.0,0.444,0.84,0.099,3.592,1.968,0.49,2.032,,4
PEX2,NS_341.1 [Cerebral palsy],0.218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.201,0.353,0.238,0.118,0.976,2
NDUFB3,GE_972.2 [Hereditary ataxia],0.217,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.777,0.829,0.069,0.992,1
ANO5,GE_972.9 [Muscular dystrophy],0.217,0,0.0,0.0,0.897,0.392,0.312,0.813,0.154,2.326,2.623,2.421,0.158,0.987,5
GJA3,CM_751.213 [Congenital cataract],0.217,0,0.0,0.0,0.888,0.0,0.749,0.873,0.083,,1.031,0.142,2.097,1.0,5
CSRP3,CV_414.1 [Hypertrophic cardiomyopathy],0.217,0,0.0,0.0,0.884,0.0,0.655,0.69,0.818,2.99,3.455,0.339,1.938,0.815,5
DMD,CV_414.1 [Hypertrophic cardiomyopathy],0.215,0,0.0,0.0,0.728,0.0,0.519,0.16,0.174,3.524,2.882,0.57,0.17,0.927,5
MUSK,NS_338.1 [Myasthenia gravis],0.215,1,0.5,0.0,0.0,0.0,0.459,0.84,0.149,2.069,2.26,1.524,0.288,,4
PTH1R,CM_770.5 [Congenital osteodystrophies],0.215,1,4.0,0.0,0.853,0.0,0.285,0.705,0.084,2.7,2.933,0.105,0.062,0.879,5
COX19,CV_414.1 [Hypertrophic cardiomyopathy],0.214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.343,0.195,0.141,0.99,2
CACNA2D2,GE_972.2 [Hereditary ataxia],0.214,1,4.0,0.0,0.547,0.0,0.35,0.402,0.052,,3.328,0.357,0.233,0.936,5
NDUFB4,CV_414.1 [Hypertrophic cardiomyopathy],0.214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.213,0.349,0.129,0.986,1
GJB1,GE_972.1 [Hereditary neuropathy],0.213,0,0.0,0.0,0.0,0.0,0.367,0.815,0.122,1.85,1.901,,7.457,,4
GUCA1B,SO_386.6 [Night blindness],0.213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.172,0.203,0.074,0.998,1
NPR2,GE_978.3 [Osteochondrodysplasias],0.212,1,4.0,0.0,0.0,0.0,0.356,0.0,0.098,,1.743,0.145,0.123,,3
ACVRL1,GE_975.2 [Hereditary hemorrhagic telangiectasia],0.212,0,0.0,0.0,0.0,0.0,0.355,0.769,0.175,1.529,0.23,0.166,29.844,,4
SOD1,NS_323.3 [Motor neuron disease],0.212,1,4.0,0.0,0.898,0.0,0.0,0.777,0.141,1.888,5.708,5.352,1.835,1.0,4
DNM2,GE_972.9 [Muscular dystrophy],0.212,1,0.5,0.0,0.813,0.0,0.46,0.888,0.118,,1.433,0.219,0.125,0.96,5
FKRP,SO_380.3 [Optic atrophy],0.212,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.709,1.837,0.25,0.132,0.979,2
OR1M1,BI_179.1 [Hypogammaglobulinemia NOS],0.211,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.761,0.175,0.08,0.991,2
NR3C1,DE_663.1 [Pemphigus],0.211,1,4.0,0.0,0.0,0.0,0.305,0.0,0.231,2.306,0.213,0.08,0.089,,3
CRYGA,CM_751.213 [Congenital cataract],0.211,0,0.0,0.0,0.547,0.0,0.814,0.008,0.0,,1.897,0.257,0.102,0.997,4
GAA,GE_964.3 [Glycogen storage disease],0.21,1,4.0,0.0,0.0,0.0,0.395,0.926,0.124,1.857,3.229,1.088,0.293,,4
PTPRO,GU_580.52 [Diffuse membranous glomerulonephritis],0.21,0,0.0,0.0,0.0,0.0,0.467,0.0,0.124,3.393,0.595,0.377,0.174,,3
PTGS2,SO_365.3 [Exophthalmos [Proptosis]],0.21,1,4.0,0.0,0.0,0.0,0.0,0.0,0.076,3.586,2.225,0.18,0.169,0.953,3
NEFH,NS_323.3 [Motor neuron disease],0.21,0,0.0,0.0,0.885,0.0,0.376,0.185,0.099,1.313,3.024,0.199,0.175,0.994,5
FOXRED1,GE_963.1 [Lipid storage disorders],0.21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.905,0.214,0.355,0.115,0.986,2
ETS1,GI_542.8 [Biliary cirrhosis],0.21,0,0.0,0.0,0.0,0.475,0.0,0.0,0.523,3.588,0.633,0.1,0.136,,2
COX7A1,CV_414.1 [Hypertrophic cardiomyopathy],0.21,0,0.0,0.0,0.0,0.0,0.518,0.0,0.0,,1.679,0.36,0.09,0.988,3
NMNAT1,SO_386.6 [Night blindness],0.21,0,0.0,0.0,0.547,0.0,0.275,0.0,0.0,,0.396,0.153,0.1,0.998,3
PPARGC1A,CV_414.1 [Hypertrophic cardiomyopathy],0.209,0,0.0,0.0,0.0,0.0,0.485,0.0,0.211,3.315,2.593,2.057,0.405,0.974,4
LMNA,CV_414.1 [Hypertrophic cardiomyopathy],0.209,0,0.0,0.0,0.817,0.0,0.703,0.405,0.158,,1.864,0.284,0.206,0.993,5
TRIM32,GE_972.9 [Muscular dystrophy],0.208,0,0.0,0.0,0.881,0.0,0.368,0.54,0.098,2.339,1.7,0.175,0.105,0.92,5
MYO1E,GU_580.52 [Diffuse membranous glomerulonephritis],0.208,0,0.0,0.0,0.0,0.0,0.678,0.783,0.098,2.962,4.046,1.369,1.07,,4
DNM2,GE_972.1 [Hereditary neuropathy],0.208,0,0.0,0.0,0.0,0.0,0.363,0.888,0.129,,2.54,0.39,0.246,,4
CERKL,SO_386.5 [Color vision deficiencies],0.206,0,0.0,0.0,0.0,0.0,0.416,0.0,0.0,2.235,0.439,0.303,0.118,0.997,3
ITPR1,GE_972.2 [Hereditary ataxia],0.206,0,0.0,0.0,0.888,0.0,0.302,0.207,0.104,2.485,3.659,0.11,0.372,0.995,5
ALOX12B,GE_977.1 [Congenital ichthyosis],0.206,0,0.0,0.0,0.883,0.0,0.383,0.742,0.086,2.668,0.296,0.157,0.089,0.999,5
PRKCA,CV_414.1 [Hypertrophic cardiomyopathy],0.206,0,0.0,0.0,0.0,0.695,0.358,0.0,0.27,6.538,1.895,0.902,0.211,0.831,4
